データ仕様　ズームレベル17（注記）,,,,
注記名,source-layer,ftCode,annoCtg,データタイプ
構造物名称（高塔、煙突等）,label,100,511,点
道路施設名（道の駅、IC、SA等）,label,100,412,点
道路構造物（橋、トンネル等）,label,100,413,点
鉄道路線名,label,100,421,点
鉄道駅名,label,100,422,点
鉄道構造物（橋、トンネル、操車場等）,label,100,423,点
港湾施設（フェリー発着所、埠頭等）,label,100,432,点
空港名,label,100,441,点
居住地名（大字・町・丁目）,label,100,800,点
山,label,100,810,点
湖沼,label,100,820,点
滝,label,100,822,点
高原、平原、湿原,label,100,830,点
温泉、泉、噴気口,label,100,831,点
峠,label,100,832,点
海峡、水道,label,100,840,点
湾、灘,label,100,841,点
海岸、浜、磯,label,100,842,点
岬、崎、鼻,label,100,843,点
島,label,100,850,点
道の駅,label,100,860,点
公園,label,100,870,点
国の機関,label,100,880,点
地方の機関,label,100,881,点
警察,label,100,883,点
消防,label,100,884,点
病院,label,100,886,点
保健所,label,100,882,点
郵便局,label,100,887,点
博物館,label,100,889,点
老人ホーム,label,100,890,点
指定公共機関,label,100,888,点
学校,label,100,885,点
その他,label,100,899,点
