データ仕様　ズームレベル8～10（注記）
注記名,source-layer,ftCode,annoCtg,データタイプ
市区町村,label,100,110,点
都道府県,label,100,140,点
山名,label,100,311,点
山名,label,100,314,点
山名,label,100,315,点
山名,label,100,316,点
湖、沼、池、浦等,label,100,321,点
河川、用水等,label,100,322,点
山脈、山地,label,100,333,点
高原、原、森、林、平、砂丘、湿原,label,100,331,点
岩、溶岩、崖、鍾乳洞、温泉、湧水、噴泉、噴火口、峠、坂等,label,100,332,点
海、灘,label,100,344,点
湾、淵、浦、瀬、海峡、瀬戸等、水道,label,100,345,点
半島,label,100,346,点
海岸、浜、洲、干潟,label,100,347,点
岬、鼻、崎、磯、敷等,label,100,343,点
諸島、群島、列島、島の総称等,label,100,351,点
島,label,100,352,点
道路名,label,100,411,点
鉄道路線名,label,100,421,点
到達注記,label,100,361,点
