データ仕様　ズームレベル11～13（地物）
カテゴリ,地物名,source-layer,ftCodeH,ftCodeL,データタイプ
記号,都道府県庁,label,100,,点
記号,北海道の総合振興局・振興局,label,100,,点
記号,支庁,label,100,,点
記号,大学,label,100,,点
記号,短期大学,label,100,,点
記号,高等専門学校,label,100,,点
記号,発電所等,label/symbol,100,,点
記号,,label/symbol,81,03,点
記号,神社,label/symbol,100,,点
記号,,label/symbol,32,31,点
記号,寺院,label/symbol,100,,点
記号,,label/symbol,32,32,点
記号,市役所・東京都の区役所,symbol,32,05,点
記号,町村役場・政令指定都市の区役所,symbol,32,06,点
記号,高等学校・中等教育学校,symbol,32,12,点
記号,郵便局,symbol,32,18,点
記号,灯台,symbol,32,21,点
記号,警察署,symbol,32,41,点
記号,病院,symbol,32,43,点
記号,工場,symbol,32,61,点
記号,風車,symbol,41,02,点
記号,油井・ガス井,symbol,41,03,点
記号,田,symbol,63,11,点
記号,畑,symbol,63,12,点
記号,茶畑,symbol,63,13,点
記号,果樹園,symbol,63,14,点
記号,広葉樹林,symbol,63,21,点
記号,針葉樹林,symbol,63,22,点
記号,温泉,symbol,63,31,点
記号,噴火口・噴気口,symbol,63,32,点
記号,史跡・名勝・天然記念物,symbol,63,41,点
記号,城跡,symbol,63,42,点
記号,採鉱地,symbol,63,51,点
記号,港湾,symbol,63,61,点
記号,漁港,symbol,63,62,点
記号,飛行場,symbol,63,71,点
記号,自衛隊,symbol,63,81,点
記号,電子基準点,symbol,71,01,点
記号,三角点,symbol,71,02,点
境界,都府県界及び北海道総合振興局・振興局界,boundary,12,11,線
境界,市区町村界,boundary,12,12,線
境界,所属界（所属を明示する境界線）,boundary,12,21,線
境界,特定地区界,boundary,61,01,線
道路,道路-通常部-通常部,road,27,01,線
道路,道路-通常部-通常部,road,27,02,線
道路,道路-通常部-橋・高架,road,27,03,線
道路,道路-通常部-トンネル,road,27,04,線
道路,道路-徒歩道-通常部,road,27,21,線
道路,道路-徒歩道-通常部,road,27,22,線
道路,道路-徒歩道-通常部,road,27,23,線
道路,道路-石段-通常部,road,27,31,線
道路,道路-石段-通常部,road,27,32,線
道路,道路-石段-通常部,road,27,33,線
道路,道路-石段-通常部,road,27,34,線
鉄道,鉄道,railway,82,01,線
航路,水上・海上交通　航路の軌跡,searoute,59,02,線
建物,堅ろう建物,building,31,02,面
建物,高層建物,building,31,03,面
交通構造物,国道番号,transp,29,01,点
交通構造物,都市高速道路番号,transp,29,03,点
交通構造物,高速道路番号,transp,29,04,点
交通構造物,インターチェンジ,transp,29,41,点
交通構造物,ジャンクション,transp,29,42,点
交通構造物,サービスエリア,transp,29,43,点
交通構造物,パーキングエリア,transp,29,44,点
交通構造物,スマートインターチェンジ,transp,29,45,点
構造物,ダム（線）,wstructurea,54,01,線
構造物,桟橋（面）,wstructurea,54,11,面
河川,通常部,river,53,01,線
河川,枯れ川部,river,53,02,線
河川,人工水路（地下）,river,53,22,線
水域,水域,waterarea,50,00,面
標高,標高点,elevation,72,01,点
等高線等深線,等高線-通常部,contour,73,51,線
等高線等深線,等高線-通常部,contour,73,53,線
等高線等深線,等高線-数値部,contour,73,52,線
等高線等深線,等深線-通常部,contour,73,71,線
等高線等深線,等深線-通常部,contour,73,73,線
等高線等深線,等深線-数値部,contour,73,72,線
地形,湿地,landforma,74,01,面
地形,砂礫地（領域が明瞭な場合）,landforma,74,03,面
