データ仕様　ズームレベル14～16（地物
カテゴリ,地物名,source-layer,ftCodeH,ftCodeL,データタイプ
記号,官公署,symbol,32,01,点
記号,裁判所,symbol,32,02,点
記号,税務署,symbol,32,03,点
記号,外国公館,symbol,32,04,点
記号,市役所・東京都の区役所,symbol,32,05,点
記号,町村役場・政令指定都市の区役所,symbol,32,06,点
記号,交番,symbol,32,11,点
記号,高等学校・中等教育学校,symbol,32,12,点
記号,小中学校,symbol,32,13,点
記号,小中学校,symbol,32,14,点
記号,老人ホーム,symbol,32,15,点
記号,博物館法の登録博物館・博物館相当施設,symbol,32,16,点
記号,図書館,symbol,32,17,点
記号,郵便局,symbol,32,18,点
記号,灯台,symbol,32,21,点
記号,神社,symbol,32,31,点
記号,寺院,symbol,32,32,点
記号,警察署,symbol,32,41,点
記号,消防署,symbol,32,42,点
記号,病院,symbol,32,43,点
記号,保健所,symbol,32,44,点
記号,煙突,symbol,41,01,点
記号,風車,symbol,41,02,点
記号,油井・ガス井,symbol,41,03,点
記号,記念碑,symbol,41,04,点
記号,自然災害伝承碑,symbol,41,05,点
記号,墓地,symbol,63,01,点
記号,田,symbol,63,11,点
記号,畑,symbol,63,12,点
記号,茶畑,symbol,63,13,点
記号,果樹園,symbol,63,14,点
記号,広葉樹林,symbol,63,21,点
記号,針葉樹林,symbol,63,22,点
記号,竹林,symbol,63,23,点
記号,ヤシ科樹林,symbol,63,24,点
記号,ハイマツ地,symbol,63,25,点
記号,笹地,symbol,63,26,点
記号,荒地,symbol,63,27,点
記号,温泉,symbol,63,31,点
記号,噴火口・噴気口,symbol,63,32,点
記号,史跡・名勝・天然記念物,symbol,63,41,点
記号,城跡,symbol,63,42,点
記号,採鉱地,symbol,63,51,点
記号,港湾,symbol,63,61,点
記号,漁港,symbol,63,62,点
記号,電子基準点,symbol,71,01,点
記号,三角点,symbol,71,02,点
記号,水準点,symbol,71,03,点
記号,発電所等,symbol,81,03,点
記号,電波塔,symbol,81,05,点
境界,都府県界及び北海道総合振興局・振興局界,boundary,12,11,線
境界,市区町村界,boundary,12,12,線
境界,所属界（所属を明示する境界線）,boundary,12,21,線
境界,特定地区界,boundary,61,01,線
道路,道路-通常部-通常部,road,27,01,線
道路,道路-通常部-雪覆い,road,27,02,線
道路,道路-通常部-橋・高架,road,27,03,線
道路,道路-通常部-トンネル,road,27,04,線
道路,道路-庭園路-通常部,road,27,11,線
道路,道路-庭園路-雪覆い,road,27,12,線
道路,道路-庭園路-橋・高架,road,27,13,線
道路,道路-庭園路-トンネル,road,27,14,線
道路,道路-徒歩道-通常部,road,27,21,線
道路,道路-徒歩道-雪覆い,road,27,22,線
道路,道路-徒歩道-橋・高架,road,27,23,線
道路,道路-徒歩道-トンネル,road,27,24,線
道路,道路-石段-通常部,road,27,31,線
道路,道路-石段-雪覆い,road,27,32,線
道路,道路-石段-橋・高架,road,27,33,線
道路,道路-石段-トンネル,road,27,34,線
鉄道,鉄道,railway,82,01,線
航路,水上・海上交通　船舶,searoute,59,01,線
航路,水上・海上交通　航路の軌跡,searoute,59,02,線
建物,普通建物,building,31,01,面
建物,堅ろう建物,building,31,02,面
建物,高層建物,building,31,03,面
建物,普通無壁舎,building,31,11,面
建物,堅ろう無壁舎,building,31,12,面
交通・構造物,国道番号,transp,29,01,点
構造物,高塔,structurel,42,01,線
構造物,坑口,structurel,42,02,線
構造物,ダム（面）,wstructurea,54,01,面
構造物,桟橋（面）,wstructurea,54,11,面
構造物,ダム（線）,structurel,55,01,線
構造物,桟橋（線）,structurel,55,11,線
構造物,せき,structurel,55,14,線
構造物,水門,structurel,55,15,線
構造物,透過水制,structurel,55,32,線
構造物,河川トンネル口,structurel,55,51,線
構造物,送電線,structurel,82,02,線
構造物,タンク,structurea,43,02,
海岸線,海岸線-通常部,coastline,51,01,線
海岸線,海岸線-岩等に接する部分,coastline,51,02,線
海岸線,海岸線-堤防等に接する部分,coastline,51,03,線
河川,河川-通常部,river,52,01,線
河川,河川-通常部,river,53,01,線
河川,河川-岩等に接する部分,river,52,02,線
河川,河川-堤防等に接する部分,river,52,03,線
河川,河川-枯れ川部,river,53,02,線
河川,人工水路（空間）,river,53,21,線
河川,人工水路（地下）,river,53,22,線
湖池,湖池-通常部,lake,52,31,線
湖池,湖池-岩等に接する部分,lake,52,32,線
湖池,湖池-堤防等に接する部分,lake,52,33,線
水域,水域,waterarea,50,00,面
標高,標高点（測点）,elevation,72,01,点
標高,水面標高,elevation,77,01,点
標高,水深,elevation,77,11,点
等高線・等深線,等高線-通常部,contour,73,51,線
等高線・等深線,等高線-数値部,contour,73,52,線
等高線・等深線,等高線-崖部,contour,73,53,線
等高線・等深線,等深線-通常部,contour,73,71,線
等高線・等深線,等深線-数値部,contour,73,72,線
等高線・等深線,等深線-崖部,contour,73,73,線
地形,滝（領域）,landformp,58,01,点
地形,砂礫地（領域が不明瞭な場合）,landformp,76,01,点
地形,雨裂（下部）,landformp,76,21,点
地形,滝（線）,landforml,55,21,線
地形,岩・崖等,landforml,75,01,線
地形,岩・崖等,landforml,75,02,線
地形,岩・崖等,landforml,75,09,線
地形,岩・崖等,landforml,75,11,線
地形,岩・崖等,landforml,75,12,線
地形,岩・崖等,landforml,75,41,線
地形,雨裂（上部）,landforml,75,21,線
地形,凹地方向線,landforml,75,31,線
地形,凹地方向線,landforml,75,32,線
地形,干潟界,landforml,75,51,線
地形,枯れ川水涯線,landforml,75,61,線
地形,湖底急斜面,landforml,75,71,線
地形,水部凹地方向線,landforml,75,72,線
地形,湿地,landforma,74,01,面
