データ仕様　ズームレベル17（地物）
カテゴリ,地物名,source-layer,ftCodeH,ftCodeL,データタイプ
記号,自然災害伝承碑,symbol,41,05,点
記号,電子基準点,symbol,71,01,点
記号,電子基準点(付),symbol,71,01,点
境界,特定地区界,boundary,61,01,線
道路,道路-通常部-通常部,road,22,01,線
道路,道路-通常部-通常部,road,22,41,線
道路,道路-通常部-通常部,road,22,04,線
道路,道路-通常部-通常部,road,22,44,線
道路,道路-通常部-橋・高架,road,22,03,線
道路,道路-通常部-橋・高架,road,22,43,線
道路,道路-庭園路-通常部,road,22,21,線
道路,道路-庭園路-通常部,road,22,51,線
道路,道路-庭園路-通常部,road,22,24,線
道路,道路-庭園路-橋・高架,road,22,23,線
道路,道路-徒歩道-通常部,road,27,21,線
道路,道路-徒歩道-雪覆い,road,27,22,線
道路,道路-徒歩道-橋・高架,road,27,23,線
道路,トンネル内の道路,road,24,01,線
道路,トンネル内の道路,road,24,24,線
鉄道,普通鉄道-通常部,railway,28,01,線
鉄道,普通鉄道-通常部,railway,28,03,線
鉄道,普通鉄道-トンネル,railway,28,04,線
鉄道,普通鉄道-運休中,railway,28,06,線
鉄道,特殊鉄道,railway,28,11,線
鉄道,特殊鉄道,railway,28,13,線
鉄道,索道,railway,28,21,線
鉄道,路面,railway,28,31,線
鉄道,側線-通常部,railway,28,41,線
鉄道,側線-橋・高架,railway,28,43,線
鉄道,地下駅,railway,82,01,線
建物,普通建物,building,31,01,面
建物,堅ろう建物,building,31,02,面
建物,高層建物,building,31,03,面
建物,普通無壁舎,building,31,11,面
建物,堅ろう無壁舎,building,31,12,面
交通構造物,国道番号,transp,29,01,点
構造物,ダム,structurel,55,01,線
構造物,せき,structurel,55,14,線
構造物,水門,structurel,55,15,線
構造物,タンク,structurea,43,02,面
海岸線,海岸線-通常部,coastline,51,01,線
海岸線,海岸線-堤防等に接する部分,coastline,51,03,線
河川,河川-通常部,river,52,01,線
河川,,river,53,01,線
河川,河川-堤防等に接する部分,river,52,03,線
河川,河川-枯れ川部,river,53,02,線
河川,人工水路（空間）,river,53,21,線
湖池,湖池-通常部,lake,52,31,線
湖池,湖池-堤防等に接する部分,lake,52,33,線
水域,水域,waterarea,50,00,面
等高線等深線,等高線-通常部,contour,73,51,線
等高線等深線,等高線-数値部,contour,73,52,線
等高線等深線,等高線-崖部,contour,73,53,線
地形,滝（線）,landforml,55,21,線
地形,岩・崖等,landforml,75,01,線
地形,岩・崖等,landforml,75,02,線
地形,岩・崖等,landforml,75,09,線
地形,岩・崖等,landforml,75,11,線
地形,岩・崖等,landforml,75,12,線
地形,岩・崖等,landforml,75,41,線
地形,雨裂（上部）,landforml,75,21,線
地形,凹地方向線,landforml,75,31,線
地形,凹地方向線,landforml,75,32,線
地形,干潟界,landforml,75,51,線
地形,枯れ川水涯線,landforml,75,61,線
地形,砂礫地（領域が明瞭な場合）,landforma,74,03,面
