データ仕様　ズームレベル4～7（地物）
カテゴリ,地物名,source-layer,ftCode,データタイプ
記号,人口100万人以上,symbol,51301,点
記号,人口50万～100万人未満,symbol,51302,点
記号,人口50万人未満,symbol,51303,点
記号,主要な港,symbol,56368,点
記号,主要な空港,symbol,56376,点
境界,地方界,boundary,51212,線
境界,国の所属界,boundary,51221,線
道路,主要な道路,road,52701,線
道路,高速自動車道,road,52703,線
道路,高速自動車道トンネル,road,52704,線
鉄道,主要な鉄道,railway,58201,線
鉄道,新幹線,railway,58203,線
鉄道,新幹線トンネル,railway,58204,線
航路,航路,searoute,55902,線
海岸線,海岸線,coastline,55101,線
河川,河川幅(大),river,55301,線
河川,河川幅(中),river,55302,線
河川,河川幅(小),river,55303,線
河川,河川幅(極小),river,55304,線
水域,水域,waterarea,55000,面
標高,標高点,elevation,57221,点
